Country/Region,Date,Type
Mainland China,1/23/2020,Full
Hong Kong,3/23/2020,Full
Macau,1/26/2020,Full
Taiwan,2/2/2020,Full
US,3/23/2020,Partial
Japan,2/27/2020,Full
Thailand,3/22/2020,Partial
South Korea,2/23/2020,Full
Singapore,3/26/2020,Partial
Philippines,3/16/2020,Partial
Malaysia,3/18/2020,Full
Vietnam,3/19/2020,Full
Australia,3/25/2020,Partial
Mexico,3/14/2020,Partial
Brazil,,
Colombia,3/25/2020,Full
France,3/16/2020,Full
Nepal,3/24/2020,Full
Canada,3/16/2020,Partial
Cambodia,3/28/2020,Partial
Sri Lanka,3/21/2020,Full
Ivory Coast,3/24/2020,Partial
Germany,3/20/2020,Full
Finland,3/27/2020,Full
United Arab Emirates,3/24/2020,Full
India,3/24/2020,Full
Italy,3/11/2020,Full
UK,3/23/2020,Full
Russia,3/27/2020,Full
Sweden,,
Spain,3/14/2020,Full
Belgium,3/17/2020,Full
Egypt,3/24/2020,Full
Iran,3/15/2020,Full
Israel,3/12/2020,Full
Lebanon,3/16/2020,Full
Iraq,3/22/2020,Full
Oman,3/29/2020,Partial
Afghanistan,3/24/2020,Full
Bahrain,2/25/2020,Full
Kuwait,3/16/2020,Partial
Austria,3/16/2020,Full
Algeria,3/24/2020,Full
Croatia,3/22/2020,Partial
Switzerland,3/18/2020,Full
Pakistan,3/26/2020,Full
Georgia,3/22/2020,Partial
Greece,3/18/2020,Full
North Macedonia,3/18/2020,Full
Norway,3/12/2020,Full
Romania,3/25/2020,Full
Denmark,3/11/2020,Full
Estonia,3/13/2020,Full
Netherlands,3/24/2020,Full
San Marino,3/9/2020,Full
Belarus,,
Iceland,3/16/2020,Full
Lithuania,3/16/2020,Full
New Zealand,3/25/2020,Full
Nigeria,3/25/2020,Full
North Ireland,3/23/2020,Full
Ireland,3/12/2020,Full
Luxembourg,3/16/2020,Full
Monaco,3/17/2020,Full
Qatar,3/11/2020,Full
Ecuador,3/24/2020,Partial
Azerbaijan,3/2/2020,Full
Czech Republic,3/16/2020,Full
Armenia,3/24/2020,Full
Dominican Republic,3/17/2020,Full
Indonesia,,
Portugal,3/18/2020,Full
Andorra,3/16/2020,Full
Latvia,3/13/2020,Full
Morocco,3/16/2020,Full
Saudi Arabia,3/15/2020,Full
Senegal,3/24/2020,Partial
Argentina,3/20/2020,Full
Chile,3/26/2020,Full
Jordan,3/21/2020,Full
Ukraine,3/17/2020,Full
Saint Barthelemy,,
Hungary,3/16/2020,Full
Faroe Islands,3/12/2020,Full
Gibraltar,3/24/2020,Full
Liechtenstein,,
Poland,3/12/2020,Full
Tunisia,3/20/2020,Full
Palestine,3/5/2020,Full
Bosnia and Herzegovina,3/11/2020,Full
Slovenia,3/11/2020,Full
South Africa,3/26/2020,Full
Bhutan,3/6/2020,Full
Cameroon,,
Costa Rica,3/15/2020,Full
Peru,3/10/2020,Full
Serbia,3/15/2020,Full
Slovakia,3/9/2020,Full
Togo,3/20/2020,Partial
Vatican City,3/10/2020,Full
French Guiana,,
Malta,3/12/2020,Full
Martinique,3/20/2020,Partial
Republic of Ireland,3/12/2020,Full
Bulgaria,3/13/2020,Full
Maldives,3/11/2020,Full
Bangladesh,3/19/2020,Full
Moldova,3/11/2020,Full
Paraguay,3/15/2020,Partial
Albania,3/8/2020,Full
Cyprus,3/25/2020,Full
St. Martin,,
Brunei,,
Burkina Faso,3/21/2020,Full
Channel Islands,,
Holy See,,
Mongolia,3/10/2020,Full
Panama,3/25/2020,Full
Bolivia,3/12/2020,Full
Honduras,3/20/2020,Partial
DR Congo,,
Jamaica,3/12/2020,Full
Reunion,,
Turkey,3/23/2020,Full
Cuba,,
Guyana,,
Kazakhstan,,
Cayman Islands,,
Guadeloupe,,
Ethiopia,3/16/2020,Full
Sudan,,
Guinea,,
Antigua and Barbuda,,
Aruba,3/16/2020,Full
Kenya,3/15/2020,Full
Uruguay,3/16/2020,Full
Ghana,3/15/2020,Full
Jersey,3/18/2020,Full
Namibia,3/14/2020,Full
Seychelles,,
Trinidad and Tobago,3/13/2020,Full
Venezuela,3/16/2020,Full
Curacao,,
Eswatini,,
Gabon,,
Guatemala,,
Guernsey,3/19/2020,Partial
Mauritania,,
Rwanda,3/16/2020,Full
Saint Lucia,3/20/2020,Full
Saint Vincent and the Grenadines,,
Suriname,,
Kosovo,3/25/2020,Partial
Central African Republic,,
Congo (Brazzaville),,
Equatorial Guinea,,
Uzbekistan,3/20/2020,Partial
Guam,3/26/2020,Full
Puerto Rico,3/13/2020,Full
Benin,,
Greenland,,
Liberia,,
Mayotte,,
Republic of the Congo,,
Somalia,3/19/2020,Full
Tanzania,,
The Bahamas,3/20/2020,Full
Barbados,3/28/2020,Full
Montenegro,3/24/2020,Full
The Gambia,,
Kyrgyzstan,3/24/2020,Partial
Mauritius,3/17/2020,Partial
Zambia,,
Djibouti,,
Chad,,
El Salvador,,
Fiji,,
Nicaragua,,
Madagascar,,
Haiti,,
Angola,,
Niger,,
Papua New Guinea,,
Zimbabwe,,
Cape Verde,,
East Timor,,
Eritrea,,
Uganda,3/18/2020,Full
Dominica,,
Grenada,,
Mozambique,,
Syria,,
Belize,,
Laos,,
Libya,,
Diamond Princess,,
Guinea-Bissau,,
Mali,3/18/2020,Full
Saint Kitts and Nevis,,
Burma,,
